epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.646,1.07901,2.35352,1.31789,0.9873,0.14706,0.2021,0.16073,0.95046,2.37597,1.17971,0.000326087,0.000326087,0.000326087
2,246.514,0.90009,1.27584,1.1655,0.94284,0.25489,0.5972,0.38075,0.91235,1.73965,1.14826,0.000646364,0.000646364,0.000646364
3,340.1,0.86682,1.13658,1.13934,0.84557,0.58207,0.58888,0.37895,0.83888,1.26819,1.06656,0.000953441,0.000953441,0.000953441
4,452.646,0.85786,1.05104,1.1258,0.92157,0.57575,0.59922,0.38178,0.88507,1.31382,1.12287,0.0009406,0.0009406,0.0009406
5,547.227,0.84787,1.00475,1.11972,0.88356,0.58266,0.60576,0.40579,0.91526,1.20945,1.13176,0.0009208,0.0009208,0.0009208
6,655.706,0.78706,0.89715,1.08534,0.8947,0.59207,0.60272,0.40554,0.76336,1.05955,1.04078,0.000901,0.000901,0.000901
7,781.777,0.76853,0.873,1.07237,0.91102,0.58479,0.60651,0.4141,0.7987,1.12073,1.07718,0.0008812,0.0008812,0.0008812
8,908.069,0.74078,0.8214,1.05973,0.82125,0.5665,0.59688,0.40319,0.81576,1.17711,1.05421,0.0008614,0.0008614,0.0008614
9,1036.45,0.75159,0.82267,1.0701,0.90326,0.56396,0.62462,0.41116,0.72978,1.08511,0.99683,0.0008416,0.0008416,0.0008416
10,1151.9,0.73007,0.77739,1.05824,0.88251,0.60312,0.61185,0.41229,0.74445,0.97261,1.01418,0.0008218,0.0008218,0.0008218
11,1258.31,0.7088,0.74735,1.04119,0.89778,0.5866,0.61775,0.43202,0.74745,0.83097,0.99146,0.000802,0.000802,0.000802
12,1366.74,0.69832,0.73005,1.02933,0.87507,0.61135,0.62581,0.4249,0.71606,0.83926,0.98551,0.0007822,0.0007822,0.0007822
13,1481.45,0.69421,0.72147,1.02909,0.88822,0.6037,0.60297,0.42543,0.71313,0.85851,0.991,0.0007624,0.0007624,0.0007624
14,1575.43,0.68731,0.69064,1.02779,0.93251,0.60525,0.62124,0.4272,0.71838,0.81711,1.02055,0.0007426,0.0007426,0.0007426
15,1672.16,0.6726,0.65927,1.01225,0.8912,0.60255,0.61255,0.43131,0.71648,0.82974,0.9774,0.0007228,0.0007228,0.0007228
16,1764.67,0.66874,0.65128,1.01164,0.88654,0.60592,0.62002,0.41592,0.73291,0.80541,1.00594,0.000703,0.000703,0.000703
17,1859.87,0.66724,0.64904,1.01876,0.87121,0.59122,0.60644,0.42491,0.75895,0.86075,1.01377,0.0006832,0.0006832,0.0006832
18,1958.44,0.66175,0.62999,1.01059,0.81036,0.60102,0.6052,0.41208,0.71263,0.83273,0.99339,0.0006634,0.0006634,0.0006634
19,2056.54,0.64518,0.61581,1.00469,0.72162,0.59425,0.56945,0.39487,0.72714,1.00821,0.97437,0.0006436,0.0006436,0.0006436
20,2154.29,0.62878,0.58282,0.99917,0.79575,0.61113,0.58586,0.40797,0.69674,0.93372,0.97195,0.0006238,0.0006238,0.0006238
21,2250.14,0.62367,0.58507,0.99506,0.89453,0.6098,0.62812,0.42647,0.67327,0.75779,0.95244,0.000604,0.000604,0.000604
