epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6634,0.90023,2.42133,1.20587,0.0047,1,0.84444,0.68225,0.51999,2.56374,0.95827,0.0002,0.0002,0.0002
2,68.9747,0.65081,1.2093,1.00603,0.86171,0.47934,0.78512,0.62058,0.63577,2.38711,1.03877,0.000411684,0.000411684,0.000411684
3,93.1552,0.64276,1.04828,0.99419,0.96346,0.73504,0.8499,0.69016,0.70671,1.80378,1.10174,0.000614656,0.000614656,0.000614656
4,116.795,0.69678,0.9754,1.00508,0.90121,0.62379,0.7855,0.64578,0.66989,1.85293,1.05282,0.000808916,0.000808916,0.000808916
5,140.494,0.62277,0.86918,0.97992,0.80678,0.78516,0.82462,0.68648,0.70688,1.7552,1.08631,0.000994464,0.000994464,0.000994464
6,164.916,0.64029,0.88134,1.00482,0.83204,0.76212,0.82555,0.64933,0.75158,1.86391,1.14299,0.0011713,0.0011713,0.0011713
7,190.453,0.64673,0.87121,0.98779,0.87199,0.64047,0.78537,0.56789,0.87867,1.8046,1.28791,0.00133942,0.00133942,0.00133942
8,214.029,0.64799,0.85828,0.98868,0.61112,0.57265,0.59262,0.39832,0.98004,1.93794,1.33441,0.00149884,0.00149884,0.00149884
9,237.671,0.66415,0.83412,1.00899,0.84984,0.76923,0.82826,0.65511,0.74944,1.33005,1.11837,0.00164954,0.00164954,0.00164954
10,262.012,0.62787,0.75245,0.97489,0.79555,0.64103,0.76321,0.57822,0.8715,1.50488,1.17577,0.0016436,0.0016436,0.0016436
11,285.465,0.63108,0.75504,1.0066,0.72338,0.70085,0.72039,0.5678,0.80617,1.44101,1.17358,0.001604,0.001604,0.001604
12,310.416,0.59031,0.71205,0.96413,0.28452,0.45206,0.24687,0.17049,1.0171,2.10851,1.36745,0.0015644,0.0015644,0.0015644
13,335.056,0.63081,0.71187,0.9964,0.79908,0.64957,0.74404,0.59214,0.7402,1.37737,1.12882,0.0015248,0.0015248,0.0015248
14,359.103,0.61431,0.71154,0.98685,0.82427,0.7265,0.81658,0.65138,0.79629,1.30476,1.13341,0.0014852,0.0014852,0.0014852
15,384.296,0.55673,0.6278,0.94506,0.82542,0.78632,0.83782,0.67778,0.75355,1.14842,1.12284,0.0014456,0.0014456,0.0014456
16,408.968,0.59395,0.65877,0.96703,0.96069,0.76923,0.87697,0.72244,0.6943,1.01521,1.10584,0.001406,0.001406,0.001406
17,433.284,0.59811,0.65027,0.96782,0.88321,0.82906,0.89188,0.73973,0.69536,0.97566,1.08489,0.0013664,0.0013664,0.0013664
18,460.686,0.55813,0.61901,0.9449,0.7437,0.62393,0.73534,0.61895,0.72864,1.347,1.06791,0.0013268,0.0013268,0.0013268
19,495.157,0.57154,0.59643,0.95181,0.87626,0.77778,0.85876,0.74038,0.56522,1.11259,0.98076,0.0012872,0.0012872,0.0012872
20,531.853,0.5323,0.5654,0.94533,0.79193,0.87179,0.87307,0.75408,0.54836,1.14085,0.97051,0.0012476,0.0012476,0.0012476
21,568.745,0.53863,0.55622,0.93666,0.89544,0.8547,0.90549,0.7812,0.57388,0.94063,0.96427,0.001208,0.001208,0.001208
22,603.579,0.50615,0.52514,0.92722,0.89612,0.88474,0.92076,0.80446,0.53715,0.81092,0.95483,0.0011684,0.0011684,0.0011684
23,638.539,0.49346,0.52226,0.91682,0.91241,0.87179,0.91977,0.80548,0.53839,0.77073,0.9611,0.0011288,0.0011288,0.0011288
24,673.446,0.48233,0.50333,0.91129,0.88528,0.86325,0.92536,0.8068,0.52558,0.7497,0.93749,0.0010892,0.0010892,0.0010892
25,707.596,0.50328,0.50948,0.93009,0.9136,0.76923,0.89984,0.79165,0.5063,0.79434,0.94312,0.0010496,0.0010496,0.0010496
26,741.801,0.49694,0.50714,0.93138,0.95123,0.75214,0.89708,0.78746,0.52689,0.76757,0.94189,0.00101,0.00101,0.00101
27,777.434,0.48624,0.48167,0.90965,0.91841,0.78632,0.91349,0.79577,0.49886,0.70426,0.93624,0.0009704,0.0009704,0.0009704
28,808.105,0.46244,0.46169,0.90446,0.95487,0.83761,0.9301,0.84506,0.43874,0.63934,0.8908,0.0009308,0.0009308,0.0009308
29,832.53,0.48439,0.46758,0.9096,0.95508,0.83761,0.93161,0.84022,0.47702,0.65559,0.90997,0.0008912,0.0008912,0.0008912
30,856.879,0.4633,0.46227,0.9219,0.89953,0.88889,0.92503,0.83919,0.4408,0.6591,0.88192,0.0008516,0.0008516,0.0008516
31,881.493,0.43814,0.43689,0.89905,0.91718,0.88889,0.94174,0.86393,0.43886,0.57713,0.88091,0.000812,0.000812,0.000812
32,906.482,0.42995,0.42483,0.89529,0.90491,0.89744,0.93392,0.85127,0.45241,0.6036,0.90123,0.0007724,0.0007724,0.0007724
33,930.922,0.44337,0.43047,0.89912,0.90659,0.91453,0.92821,0.83244,0.48701,0.65228,0.91966,0.0007328,0.0007328,0.0007328
34,955.396,0.43492,0.42185,0.90345,0.89845,0.90746,0.92831,0.84983,0.43697,0.6357,0.8948,0.0006932,0.0006932,0.0006932
35,979.989,0.40353,0.39734,0.88702,0.95008,0.86325,0.92856,0.85739,0.44204,0.58949,0.89647,0.0006536,0.0006536,0.0006536
36,1007.75,0.41176,0.41157,0.89345,0.93886,0.84615,0.93049,0.8607,0.42373,0.55368,0.88172,0.000614,0.000614,0.000614
37,1041.6,0.39629,0.38471,0.88058,0.94253,0.86325,0.92626,0.85962,0.4336,0.554,0.88117,0.0005744,0.0005744,0.0005744
38,1075.81,0.41493,0.39907,0.89645,0.96929,0.83761,0.92757,0.84979,0.47183,0.56675,0.91015,0.0005348,0.0005348,0.0005348
39,1109.86,0.41534,0.3971,0.89359,0.95122,0.88034,0.93723,0.85306,0.45046,0.52431,0.89849,0.0004952,0.0004952,0.0004952
40,1143.79,0.40062,0.38997,0.8864,0.94498,0.90598,0.94201,0.8689,0.42797,0.49435,0.88066,0.0004556,0.0004556,0.0004556
41,1177.22,0.34542,0.55529,0.85914,0.97119,0.86429,0.92775,0.84111,0.47319,0.53226,0.92947,0.000416,0.000416,0.000416
42,1210.66,0.32511,0.41843,0.84698,0.95085,0.82676,0.9009,0.81375,0.43858,0.69515,0.90656,0.0003764,0.0003764,0.0003764
